"Filename" "BW" "BNL" "SE" "Bal" "mean CochDiff" "std CochDiff" "CCCor" "DCOff" "DCOff ratio" "SSPS" "RDelay" "isMono" "DH1" "DH2" "DH3" "DH4" "DH5" "DH6" "DH7" "DH8" "AVSP1" "AVSP2" "AVSP3" "AVSP4" "AVSP5" "AVSP6" 
generated/drumloop/attractor_32_drumloop.wav 6369.5708441529 -77.7597854336 5.3018748185 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0012485859 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -32.3045139205 0.0351494878 -27.0000000000 -32.3045139205 -31.4342152808 5.6736309389 12.8693413850 -0.6773857894 0.0004882812 0.0000656087 0.0049553073 1340.5129746730 0.1233834762 43.0664062500 
generated/drumloop/attractor_33_drumloop.wav 4922.5272542085 -72.9472995776 5.6360480050 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0008080574 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -29.7929106906 0.0294205690 -23.0000000000 -29.7929106906 -28.3913233108 5.8564608645 14.7346995606 -0.6585789261 0.0004882812 0.0001585892 0.0030202342 3268.3159307912 0.0929375309 183.0322265625 
generated/drumloop/attractor_34_drumloop.wav 3563.0683593750 -111.8042158993 5.5822616340 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0030279524 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -26.5002470163 0.0348813022 -23.0000000000 -26.5002470163 -25.6924657632 5.6758904356 13.0426973253 -0.7923347115 0.0004882812 0.0000876050 0.0051605971 1953.4321714188 0.1532628535 43.0664062500 
generated/drumloop/attractor_35_drumloop.wav 8152.0758249015 -89.9926541321 5.1598325805 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0007120744 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -34.5417217336 0.0400192707 -28.0000000000 -34.5417217336 -33.0829663557 5.4799434897 11.7156696225 -1.0350930421 0.0004882813 0.0000843991 0.0033267913 1912.6964915569 0.0746311126 172.2656250000 
generated/drumloop/attractor_36_drumloop.wav 8294.4052734375 -101.2997868162 4.8588877843 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0014554185 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -35.8974865362 0.0427399289 -33.0000000000 -35.8974865362 -34.7755182574 5.4213886041 11.2128744543 -1.0752068871 0.0004882813 0.0000794278 0.0034027854 1677.2724250045 0.0759959625 172.2656250000 
generated/drumloop/attractor_37_drumloop.wav 5175.6195155802 -77.0848040882 5.5639200928 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0016145561 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -28.7611303097 0.0328523920 -19.0000000000 -28.7611303097 -27.4379314208 5.6737422243 13.1616462223 -0.8307010489 0.0004882812 0.0000980210 0.0037210982 2018.5943945313 0.0916850136 183.0322265625 
generated/drumloop/attractor_38_drumloop.wav 6238.5823334527 -80.5591170233 5.3532942841 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0010465006 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -30.7308973775 0.0324201210 -23.0000000000 -30.7308973775 -29.5737194479 5.7625595629 13.6921620429 -0.6914772808 0.0004882812 0.0000709479 0.0042249302 1548.5534547729 0.1121092488 183.0322265625 
generated/drumloop/attractor_39_drumloop.wav 6443.2403127239 -77.7786948984 4.8710367561 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0017224607 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -30.8191734461 0.0394467947 -22.0000000000 -30.8191734461 -28.6787377388 5.5879911001 12.9090367761 -1.0442668752 0.0004882813 0.0000576256 0.0038601259 1334.2018806608 0.0881634725 183.0322265625 
generated/drumloop/attractor_40_drumloop.wav 4563.7470703125 -107.5041741755 4.7966966812 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0038735429 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -26.4629186603 0.0288316518 -20.0000000000 -26.4629186603 -25.0408719857 5.8261741573 14.5997281524 -0.7225417676 0.0004882813 0.0000463401 0.0051150532 1081.0249522659 0.1447302198 43.0664062500 
generated/drumloop/attractor_41_drumloop.wav 5616.4746093750 -102.1401474340 5.4325414186 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0017514266 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -32.1942773628 0.0430009743 -27.0000000000 -32.1942773628 -30.9166433749 5.4268768450 11.3617222900 -1.1728982603 0.0004882812 0.0001865686 0.0027439989 4306.8528878473 0.0616791956 172.2656250000 
generated/drumloop/attractor_42_drumloop.wav 4306.2087269431 -87.3620644708 5.7330220280 1.0000000000 0.0000000000 0.0000000000 1.0000000000 -0.0011800531 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -28.5502222627 0.0305180056 -23.0000000000 -28.5502222627 -27.0005483828 5.8295240765 14.5660809769 -0.7663320902 0.0004882812 0.0001542994 0.0034868306 3127.3843702578 0.1021668399 183.0322265625 
